epoch,loss,val_loss
0,0.044134169816970825,0.05177285894751549
1,0.019357837736606598,0.03911076486110687
2,0.014049985446035862,0.039477601647377014
3,0.011782205663621426,0.03743509575724602
4,0.00948938075453043,0.03514471650123596
5,0.009417158551514149,0.028230752795934677
6,0.008441880345344543,0.02551528997719288
7,0.008150635287165642,0.025506319478154182
8,0.00716351717710495,0.017973734065890312
9,0.006837175227701664,0.015531793236732483
10,0.006506416015326977,0.011325332336127758
11,0.006006681825965643,0.008474503643810749
12,0.006013825535774231,0.008158749900758266
13,0.005810690578073263,0.006180413067340851
14,0.005892652552574873,0.006603462155908346
15,0.005590625572949648,0.00616292143240571
16,0.005556996911764145,0.005539681296795607
17,0.004975304007530212,0.005663242191076279
18,0.005306559149175882,0.006491195876151323
19,0.005431280005723238,0.005553933326154947
20,0.004849637392908335,0.005189201794564724
21,0.00458166841417551,0.0052100056782364845
22,0.004250501282513142,0.005005504935979843
23,0.004171822220087051,0.00531481159850955
24,0.0043327463790774345,0.005774203222244978
25,0.004102120641618967,0.00500532379373908
26,0.004040352068841457,0.004970344249159098
27,0.004148131236433983,0.004987184889614582
28,0.004021360073238611,0.004923186730593443
29,0.004019697662442923,0.005097627639770508
30,0.003868419211357832,0.004860683344304562
31,0.0037988994736224413,0.004878681618720293
32,0.003830794245004654,0.005134913604706526
33,0.0034999982453882694,0.005084845703095198
34,0.0035506444983184338,0.005067827645689249
35,0.0034976345486938953,0.0048099663108587265
36,0.0034047504886984825,0.005099345929920673
37,0.003495292505249381,0.004850695375353098
38,0.003321050200611353,0.004928636364638805
39,0.003225291846320033,0.00478106364607811
40,0.0031655069906264544,0.004877529572695494
41,0.0031167808920145035,0.004838759545236826
42,0.003173468168824911,0.004872915800660849
43,0.003007607301697135,0.00465240515768528
44,0.0028927556704729795,0.004795008338987827
45,0.002955795032903552,0.0047618318349123
46,0.0028191888704895973,0.0051557933911681175
47,0.002944703446701169,0.005541770253330469
48,0.0031105754896998405,0.005040713120251894
49,0.0027932096272706985,0.004700208082795143
